x,y,id,ig_date,last_date
2225986.0,4689883.0,764265,2016-09-16 00:00:00,2016-09-16 00:00:00
2225986.0,4689420.0,764266,2001-07-05 00:00:00,2001-07-05 00:00:00
2230619.2,4686176.5,764268,2001-09-24 00:00:00,2001-09-28 00:00:00
2224596.0,4687566.5,764269,2001-06-13 00:00:00,2001-06-13 00:00:00
2228766.0,4687103.5,764270,2001-07-04 00:00:00,2001-07-07 00:00:00
2226912.8,4686640.0,764271,2001-07-11 00:00:00,2001-07-12 00:00:00
2224596.0,4686176.5,764272,2001-07-05 00:00:00,2001-07-05 00:00:00
2225522.8,4686176.5,764273,2001-07-11 00:00:00,2001-07-11 00:00:00
2228766.0,4685250.0,764274,2001-06-23 00:00:00,2001-06-25 00:00:00
2225986.0,4684786.5,764275,2001-07-05 00:00:00,2001-07-05 00:00:00
2228766.0,4684323.5,764277,2001-06-13 00:00:00,2001-06-13 00:00:00
2229229.2,4683860.0,764278,2001-07-04 00:00:00,2001-07-04 00:00:00
2230155.8,4684323.5,764279,2001-07-05 00:00:00,2001-07-05 00:00:00
2226449.2,4683860.0,764280,2012-09-03 00:00:00,2012-09-03 00:00:00
2234325.8,4682933.5,764281,2023-08-18 00:00:00,2023-08-22 00:00:00
2225522.8,4682007.0,764282,2012-09-11 00:00:00,2012-09-18 00:00:00
2232935.8,4683397.0,764283,2023-09-08 00:00:00,2023-09-08 00:00:00
2234789.0,4683397.0,764284,2023-09-04 00:00:00,2023-09-04 00:00:00
2227839.2,4682470.0,764285,2001-07-05 00:00:00,2001-07-05 00:00:00
2227839.2,4681543.5,764287,2012-09-24 00:00:00,2012-09-25 00:00:00
2225986.0,4681080.0,764290,2001-08-28 00:00:00,2001-08-28 00:00:00
2227839.2,4678300.5,764292,2001-07-04 00:00:00,2001-07-07 00:00:00
2225522.8,4678763.5,764294,2019-07-26 00:00:00,2019-07-31 00:00:00
2225522.8,4677837.0,764295,2001-07-10 00:00:00,2001-07-10 00:00:00
2225522.8,4677373.5,764296,2001-08-20 00:00:00,2001-08-20 00:00:00
2229229.2,4676910.5,764297,2001-07-04 00:00:00,2001-07-04 00:00:00
2225986.0,4675983.5,764298,2001-07-06 00:00:00,2001-07-06 00:00:00
2226912.8,4675983.5,764299,2001-08-23 00:00:00,2001-08-23 00:00:00
2225986.0,4675057.0,764300,2024-07-25 00:00:00,2024-07-27 00:00:00
2273707.2,4669960.5,764301,2001-07-04 00:00:00,2001-07-04 00:00:00
2287606.8,4667644.0,764302,2006-09-07 00:00:00,2006-09-07 00:00:00
2229692.5,4663474.5,764303,2024-07-08 00:00:00,2024-07-12 00:00:00
2232009.0,4640308.5,764307,2011-11-01 00:00:00,2011-11-02 00:00:00
2242202.0,4637992.0,764308,2015-10-31 00:00:00,2015-10-31 00:00:00
2232009.0,4636139.0,764309,2023-10-24 00:00:00,2023-10-28 00:00:00
2234789.0,4636602.0,764310,2016-09-15 00:00:00,2016-09-20 00:00:00
2238495.5,4636602.0,764311,2019-10-11 00:00:00,2019-10-13 00:00:00
2244981.8,4637529.0,764314,2017-03-21 00:00:00,2017-03-21 00:00:00
2228766.0,4635675.5,764318,2018-09-25 00:00:00,2018-10-04 00:00:00
2245445.2,4636602.0,764319,2017-03-21 00:00:00,2017-03-21 00:00:00
2226912.8,4634285.5,764321,2016-09-26 00:00:00,2016-09-27 00:00:00
2289923.2,4633822.5,764324,2001-08-20 00:00:00,2001-08-21 00:00:00
2228766.0,4632895.5,764340,2016-09-27 00:00:00,2016-09-27 00:00:00
2240812.0,4629652.5,764354,2023-10-05 00:00:00,2023-10-07 00:00:00
2262124.5,4630579.0,764355,2013-10-06 00:00:00,2013-10-06 00:00:00
2242202.0,4629189.0,764368,2023-10-25 00:00:00,2023-10-28 00:00:00
2238495.5,4628726.0,764377,2023-10-21 00:00:00,2023-10-28 00:00:00
